alg_name,array_size,k_value,threshold,num_threads,mean_time,std_time
kway_seq,16777216,32,1024,1,2.2259979999999997,0.009509631748916414
kway_seq,16777216,32,4096,1,2.228118,0.00857728954856944
kway_seq,67108864,2,16,1,23.347839999999998,0.044101818556607233
kway_seq,67108864,2,64,1,21.74752,0.015051166067783624
kway_seq,67108864,2,256,1,20.31514,0.418996499269386
kway_seq,67108864,2,1024,1,18.42178,0.05117997264555845
kway_seq,67108864,2,4096,1,16.73864,0.037667312088865965
kway_seq,67108864,4,16,1,15.162299999999998,0.04518065957907259
kway_seq,67108864,4,64,1,14.640620000000002,0.06558394315684285
kway_seq,67108864,4,256,1,13.517419999999998,0.036681515781112374
kway_seq,67108864,4,1024,1,12.76944,0.02782089861956317
kway_seq,67108864,4,4096,1,11.64268,0.011292723320794236
kway_seq,67108864,8,16,1,13.852339999999998,0.044303345246155035
kway_seq,67108864,8,64,1,12.5136,0.03281615455838754
kway_seq,67108864,8,256,1,11.515260000000001,0.030996683693582456
kway_seq,67108864,8,1024,1,11.68052,0.35342878999877714
kway_seq,67108864,8,4096,1,10.45472,0.024543137533738255
kway_seq,67108864,16,16,1,12.6649,0.021611200799585607
kway_seq,67108864,16,64,1,11.26874,0.043695244592518195
kway_seq,67108864,16,256,1,11.26574,0.009722674529161333
kway_seq,67108864,16,1024,1,10.085080000000001,0.06602097848411508
kway_seq,67108864,16,4096,1,10.031220000000001,0.015680484686386394
kway_seq,67108864,32,16,1,12.614080000000001,0.02359562671343997
kway_seq,67108864,32,64,1,10.67164,0.03332798223715301
kway_seq,67108864,32,256,1,10.6999,0.041466516612804205
kway_seq,67108864,32,1024,1,10.9169,0.14537089117151364
kway_par,1048576,2,16,2,0.1757466,0.003666927847667583
kway_par,1048576,2,16,4,0.1538678,0.006362245905338777
kway_par,1048576,2,16,8,0.11923500000000001,0.0031189862455612053
kway_par,1048576,2,64,2,0.1460498,0.0011766490385837275
kway_par,1048576,2,64,4,0.12520879999999998,0.0030293255619031766
kway_par,1048576,2,64,8,0.09097376,0.003112557668927596
kway_par,1048576,2,256,2,0.12816980000000003,0.0022290277162924674
kway_par,1048576,2,256,4,0.11118520000000001,0.006558150788141427
kway_par,1048576,2,256,8,0.08340244,0.002556543750926241
kway_par,1048576,2,1024,2,0.11412119999999999,0.0017598714043929452
kway_par,1048576,2,1024,4,0.10005232,0.005244137689801823
kway_par,1048576,2,1024,8,0.07585564,0.0029881654764085616
kway_par,1048576,2,4096,2,0.10288093999999999,0.0022925075472940127
kway_par,1048576,2,4096,4,0.09261275999999999,0.00456212605288368
kway_par,1048576,2,4096,8,0.07292815999999999,0.0029239822096586003
kway_par,1048576,4,16,2,0.12705160000000001,0.004448838616987585
kway_par,1048576,4,16,4,0.08459900000000001,0.0025519155056545275
kway_par,1048576,4,16,8,0.08142788,0.0011708051919939542
kway_par,1048576,4,64,2,0.10431779999999999,0.003729770470149604
kway_par,1048576,4,64,4,0.06879508000000001,0.002181557469699112
kway_par,1048576,4,64,8,0.06056878,0.0034104709565689036
